beta,gamma,t,S,I,R,dS_dt,dI_dt,dR_dt
0.5390508031418598,0.39187497004845034,0.0,0.9949999999999999,0.005,0.0,-0.003187518331023442,0.0016094682286336775,0.001578050102389898
0.5390508031418598,0.39187497004845034,1.394125570961392,0.9905561991868119,0.007243800813188146,0.0021999999999999997,-0.0033793397562285055,0.0019382567764605258,0.0014410829797679855
0.5390508031418598,0.39187497004845034,2.788251141922784,0.9855775520657508,0.010404346670305636,0.004018101263943574,-0.0035763419900149973,0.0012578744251886547,0.0023184675648263275
0.5390508031418598,0.39187497004845034,4.182376712884176,0.9805844595492461,0.010751070615615876,0.008664469835137944,-0.0033835737430892854,0.00012133954696791306,0.003262234196121457
0.5390508031418598,0.39187497004845034,5.576502283845568,0.9761432987128019,0.010742671800699311,0.01311402948649878,-0.0038582149015979894,0.0003205769731701399,0.003537637928427933
0.5390508031418598,0.39187497004845034,6.97062785480696,0.969826787444082,0.011644919727131667,0.01852829282878648,-0.005151893887192005,0.0009119664548767376,0.004239927432315266
0.5390508031418598,0.39187497004845034,8.364753425768352,0.9617785246987738,0.01328546330990465,0.02493601199132156,-0.006404757763092406,0.002204527003725836,0.004200230759366455
0.5390508031418598,0.39187497004845034,9.758878996729743,0.9519687142974009,0.01779169466266984,0.030239591039929202,-0.007865690691930771,0.003221214416048111,0.004644476275882704
0.5390508031418598,0.39187497004845034,11.153004567691136,0.9398470036449863,0.022267018083828923,0.037885978271184784,-0.009863834518434866,0.0034807650696629267,0.006383069448771926
0.5390508031418598,0.39187497004845034,12.547130138652529,0.9244658664376375,0.02749694184292244,0.04803719171943997,-0.010958488578228176,0.0029319935016331317,0.008026495076595004
0.5390508031418598,0.39187497004845034,13.94125570961392,0.9092919853529938,0.030442152312867687,0.0602658623341384,-0.0117387399612352,0.0022591343853106977,0.00947960557592455
0.5390508031418598,0.39187497004845034,15.335381280575312,0.8917353113359887,0.03379597587252202,0.07446871279148917,-0.013340797481719069,0.0033538088973311675,0.00998698858438797
0.5390508031418598,0.39187497004845034,16.729506851536705,0.87209449154043,0.039793413800642115,0.08811209465892798,-0.01516656944319289,0.0038088327641888423,0.011357736679004103
0.5390508031418598,0.39187497004845034,18.123632422498098,0.8494471067669549,0.04441595817666447,0.10613693505638067,-0.0163476725573638,0.002935848502583856,0.013411824054779892
